document_id,split,domain,source,source_id,doi,url,title,published,final_label,redistribution_status,timestamp_validity,confirmatory_status
DEV000,development,Development,arXiv,2204.03741v1,,https://arxiv.org/abs/2204.03741,Drivers' attention detection: a systematic literature review,2022,Review,identifier_title_label_only,not_published_here,included
DEV001,development,Development,arXiv,2604.15385v1,,https://arxiv.org/abs/2604.15385,Prompt-Driven Code Summarization: A Systematic Literature Review,2026,Review,identifier_title_label_only,not_published_here,included
DEV002,development,Development,arXiv,2501.19323v1,,https://arxiv.org/abs/2501.19323,Trust and Trustworthiness from Human-Centered Perspective in HRI -- A Systematic Literature Review,2025,Review,identifier_title_label_only,not_published_here,included
DEV003,development,Development,arXiv,2308.15168v1,,https://arxiv.org/abs/2308.15168,Ontologies in Digital Twins: A Systematic Literature Review,2023,Review,identifier_title_label_only,not_published_here,included
DEV004,development,Development,arXiv,2301.07803v2,,https://arxiv.org/abs/2301.07803,"Relating Edge Computing and Microservices by means of Architecture Approaches and Features, Orchestration, Choreography, and Offloading: A Systematic Literature Review",2023,Review,identifier_title_label_only,not_published_here,included
DEV005,development,Development,arXiv,2508.18331v1,,https://arxiv.org/abs/2508.18331,"Metrics, KPIs, and Taxonomy for Data Valuation and Monetisation -- A Systematic Literature Review",2025,Design/Engineering,identifier_title_label_only,not_published_here,included
DEV006,development,Development,arXiv,2209.06977v1,,https://arxiv.org/abs/2209.06977,SQL and NoSQL Databases Software architectures performance analysis and assessments -- A Systematic Literature review,2022,Review,identifier_title_label_only,not_published_here,included
DEV007,development,Development,arXiv,2103.01498v2,,https://arxiv.org/abs/2103.01498,A Survey On Universal Adversarial Attack,2021,Review,identifier_title_label_only,not_published_here,included
DEV008,development,Development,arXiv,2112.14911v1,,https://arxiv.org/abs/2112.14911,A Survey of Deep Learning Techniques for Dynamic Branch Prediction,2021,Review,identifier_title_label_only,not_published_here,included
DEV009,development,Development,arXiv,2302.02926v2,,https://arxiv.org/abs/2302.02926,Curriculum Graph Machine Learning: A Survey,2023,Review,identifier_title_label_only,not_published_here,included
DEV010,development,Development,arXiv,2302.01107v3,,https://arxiv.org/abs/2302.01107,A Survey on Efficient Training of Transformers,2023,Review,identifier_title_label_only,not_published_here,included
